ID,OCCUPATION,COUNT
1125,washers when able ,2
1126,days work ,1
1127,days work ,1
1128,dom duties ,1
1129,white washer ,1
1130,days work ,1
1131,washer ,1
1131,not able ,1
1132,cook when able ,1
1133,at service ,1
1134,washer ,1
1135,washer ,1
1136,washer ,1
1137,dom duties ,1
1138,washer ,2
1139,washer ,1
1140,washer when able ,1
1141,washer ,2
1142,washer ,1
1142,white washer ,1
1143,layer out of dead ,1
1143,sempstress ,1
1144,washer ,1
1145,days work ,2
1146,washer ,1
1147,huster ,1
1148,washer ,1
1149,cook ,1
1150,days work ,2
1151,sempstress ,1
1152,service ,1
1153,service ,1
1154,washer when can get it ,1
1155,washer ,2
1156,dom duties ,1
1157,sempstress ,1
1158,days work when can get it ,1
1159,sempstress ,1
1160,service ,1
1161,service ,1
1162,service ,1
1163,service ,1
1164,days work when able ,1
1165,dom duties ,1
1165,white washer ,1
1166,null,null
1167,sempstress ,1
1167,washer ,1
1168,domestic duties ,1
1169,service ,1
1169,at present ,1
1170,days work ,1
1171,service ,1
1172,oyster house moninally ,1
1173,days work ,1
1173,washer ,1
1173,not able ,1
1174,domestic duties ,1
1175,washer ,1
1176,washer when able ,1
1177,null,null
1178,days work ,1
1179,washer ,1
1180,washer ,1
1181,washer ,2
1181,not able ,1
1182,washer ,1
1183,washer ,1
1184,washer ,1
1185,null,null
1186,washer ,1
1187,washer ,1
1188,null,null
1189,null,null
1190,domestic duties ,1
1191,null,null
1192,null,null
1193,days work when able ,2
1194,washer ,1
1195,service when can get it ,1
1196,days work when able ,1
1197,days work when able ,1
1198,null,null
1199,white washer ,1
1199,sempstress ,1
1200,dressm ,1
1200,days work ,1
1201,days work ,1
1202,cuts carpet rags ,1
1203,null,null
1204,days work ,1
1205,null,null
1206,days work ,1
1207,washer ,1
1207,nurse ,1
1208,null,null
1209,domestic duties ,1
1210,days work ,1
1211,washer ,1
1212,various ,1
1213,days work ,1
1214,days work ,1
1215,null,null
1216,not able ,1
1217,days work ,1
1218,days work ,1
1219,washer ,1
1220,days work ,1
1221,days work ,1
1222,days work ,1
1223,service ,1
1224,washer ,1
1224,not able ,1
1225,washer ,1
1226,cook ,1
1227,washer ,1
1228,washer ,1
1229,washer ,2
1230,washer ,1
1231,days work ,1
1232,null,null
1233,service ,1
1234,not able ,1
1235,sempstress ,1
1236,washer ,1
1237,washer ,1
1238,washer ,2
1239,days work ,1
1240,dom duties ,1
1241,matron moral refm retreat ,1
1242,eating house ,1
1243,days work ,1
1244,assist at the house ,2
1245,days work ,1
1245,idle ,1
1246,days work when can get it ,1
1247,washer ,1
1248,washer when able ,1
1249,probably idle ,3
1250,washer ,1
1250,not able ,1
1251,null,null
1252,null,null
1253,washer ,1
1254,washr ,1
1255,days work ,1
1256,washer sometimes ,1
1257,dom duties ,1
1258,washer ,1
1259,days work ,1
