247,. porter . barber . . . . . . .,1 1 . . . . .,,,,,
248,. . . . . . . . . . .,. . . . . . .,,,,,
249,. . . . . . . . . . .,. . . . . . .,,,,,
250,. barber . . . . . . . . .,3 . . . . . .,,,,,
251,lab sometimes . say nothing when boat stops running . .,. . . . . . .,,,,,
252,steward . . . . . . . . . .,. . . . . . .,,,,,
253,seaman . . . . . . . . . .,. . . . . . .,,,,,
254,putting in coal irregular cant tell . . . . .,. . . . . . .,,,,,
255,porter irregular . . . . . . . . .,. . . . . . .,,,,,
256,waiter . . . . . . . . . .,. . . . . . .,,,,,
257,laborer . . . . . . . . . .,. . . . . . .,,,,,
258,. . . . . . . . . . .,. . . . . . .,,,,,
259,waiter . . . . . . . . . .,. . . . . . .,,,,,
260,. . . . . . . . . . .,. . . . . . .,,,,,
261,coachman . . . . . . . . . .,. . . . . . .,,,,,
262,. . . . . . . . . . .,. . . . . . .,,,,,
263,seaman . . . . . . . . . .,. . . . . . .,,,,,
264,waiter . . . . . . . . . .,. . . . . . .,,,,,
265,. . . . . . . . . . .,. . . . . . .,,,,,
266,porter . . . . . . . . . .,. . . . . . .,,,,,
267,. . . . . . . . . . .,. . . . . . .,,,,,
268,. . . . . . . . . . .,. . . . . . .,,,,,
269,. . . . . . . . . . .,. . . . . . .,,,,,
270,cake seller average . . . . . . . .,. . . . . . .,,,,,
271,. . . . . . . . . . .,. . . . . . .,,,,,
272,. . . . . . . . . . .,. . . . . . .,,,,,
273,. . . . . . . . . . .,. . . . . . .,,,,,
274,. . . . . . . . . . .,. . . . . . .,,,,,
275,hat dyer ab . . . . . . . .,. . . . . . .,,,,,
276,laborer . . sometimes . . . . . . .,. . . . . . .,,,,,
277,hod carrier . . . . in summer in winter sometimes,. . . . . . .,,,,,
278,works for a bottler . . . . . . .,. . . . . . .,,,,,
279,laborer . . . . . . . . . .,. . . . . . .,,,,,
280,. . . . . . . . . . .,. . . . . . .,,,,,
281,. at service . . . . . . . .,1 . . . . . .,,,,,
282,lab . in winter . in summer . . . .,. . . . . . .,,,,,
283,waiter . . . . . . . . . .,. . . . . . .,,,,,
284,. . . . . . . . . . .,. . . . . . .,,,,,
285,waiter . . . . . . . . . .,. . . . . . .,,,,,
286,drives coal cart . . . . . . . .,. . . . . . .,,,,,
287,. . . . . . . . . . .,. . . . . . .,,,,,
288,porter about . . . . . . . . .,. . . . . . .,,,,,
289,porter . . . . . . . . . .,. . . . . . .,,,,,
290,boot maker . . . . . . . . .,. . . . . . .,,,,,
291,. . . . . . . . . . .,. . . . . . .,,,,,
