ID,JoinOcc,JoinCount
0531,. dom duties . dressmaker . . . . . .,1 . . 1 . . . .
0532,. days work sempstree irregular . . . . . .,1 . 1 . . . . .
0533,. . . . . . . . . . .,. . . . . . . .
0534,washer . . . . . . . . . .,. . . . . . . .
0535,days work . . . . . . . . .,. . . . . . . .
0536,assists husband . . . . . . . . .,. . . . . . . .
0537,quilter cant tell . . . . . . . .,. . . . . . . .
0538,washer . white washer cant tell . . . . .,. . . . . . . .
0539,domestic duties . . . . . . . . .,. . . . . . . .
0540,service . . . . . . . . . .,. . . . . . . .
0541,. . . . . . . . . . .,. . . . . . . .
